kode_wilayah,jenis,nama,parent_kode
BDG,KOTA,Kota Bandung,
BDG-ANDIR,KECAMATAN,Andir,BDG
BDG-ANDIR-CAMPAKA,KELURAHAN,Campaka,BDG-ANDIR
BDG-ANDIR-CIROYOM,KELURAHAN,Ciroyom,BDG-ANDIR
BDG-ANDIR-DUNGUSCARIANG,KELURAHAN,Dungus Cariang,BDG-ANDIR
BDG-ANDIR-GARUDA,KELURAHAN,Garuda,BDG-ANDIR
BDG-ANDIR-KEBONJERUK,KELURAHAN,Kebon Jeruk,BDG-ANDIR
BDG-ANDIR-MALEBER,KELURAHAN,Maleber,BDG-ANDIR
BDG-ASTANA-ANYAR,KECAMATAN,Astana Anyar,BDG
BDG-ASTANA-ANYAR-CIBADAK,KELURAHAN,Cibadak,BDG-ASTANA-ANYAR
BDG-ASTANA-ANYAR-KARANGANYAR,KELURAHAN,Karanganyar,BDG-ASTANA-ANYAR
BDG-ASTANA-ANYAR-KARASAK,KELURAHAN,Karasak,BDG-ASTANA-ANYAR
BDG-ASTANA-ANYAR-NYENGSERET,KELURAHAN,Nyengseret,BDG-ASTANA-ANYAR
BDG-ASTANA-ANYAR-PANJUNAN,KELURAHAN,Panjunan,BDG-ASTANA-ANYAR
BDG-ASTANA-ANYAR-PELINDUNGHEWAN,KELURAHAN,Pelindunghewan,BDG-ASTANA-ANYAR
BDG-ANTAPANI,KECAMATAN,Antapani,BDG
BDG-ANTAPANI-KIDUL,KELURAHAN,Antapani Kidul,BDG-ANTAPANI
BDG-ANTAPANI-KULON,KELURAHAN,Antapani Kulon,BDG-ANTAPANI
BDG-ANTAPANI-TENGAH,KELURAHAN,Antapani Tengah,BDG-ANTAPANI
BDG-ANTAPANI-WETAN,KELURAHAN,Antapani Wetan,BDG-ANTAPANI
BDG-ARCAMANIK,KECAMATAN,Arcamanik,BDG
BDG-ARCAMANIK-CISARANTEN-BINA-HARAPAN,KELURAHAN,Cisaranten Bina Harapan,BDG-ARCAMANIK
BDG-ARCAMANIK-CISARANTEN-ENDAH,KELURAHAN,Cisaranten Endah,BDG-ARCAMANIK
BDG-ARCAMANIK-CISARANTEN-KULON,KELURAHAN,Cisaranten Kulon,BDG-ARCAMANIK
BDG-ARCAMANIK-SUKAMISKIN,KELURAHAN,Sukamiskin,BDG-ARCAMANIK
BDG-BABAKAN-CIPARAY,KECAMATAN,Babakan Ciparay,BDG
BDG-BABAKAN-CIPARAY-BABAKAN,KELURAHAN,Babakan,BDG-BABAKAN-CIPARAY
BDG-BABAKAN-CIPARAY-BABAKAN-CIPARAY,KELURAHAN,Babakan Ciparay,BDG-BABAKAN-CIPARAY
BDG-BABAKAN-CIPARAY-CIRANGRANG,KELURAHAN,Cirangrang,BDG-BABAKAN-CIPARAY
BDG-BABAKAN-CIPARAY-MARGAHAYU-UTARA,KELURAHAN,Margahayu Utara,BDG-BABAKAN-CIPARAY
BDG-BABAKAN-CIPARAY-MARGASUKA,KELURAHAN,Margasuka,BDG-BABAKAN-CIPARAY
BDG-BABAKAN-CIPARAY-SUKAHAJI,KELURAHAN,Sukahaji,BDG-BABAKAN-CIPARAY
BDG-BANDUNG-KIDUL,KECAMATAN,Bandung Kidul,BDG
BDG-BANDUNG-KIDUL-BATUNUNGGAL,KELURAHAN,Batununggal,BDG-BANDUNG-KIDUL
BDG-BANDUNG-KIDUL-KUJANGSARI,KELURAHAN,Kujangsari,BDG-BANDUNG-KIDUL
BDG-BANDUNG-KIDUL-MENGGER,KELURAHAN,Mengger,BDG-BANDUNG-KIDUL
BDG-BANDUNG-KIDUL-WATES,KELURAHAN,Wates,BDG-BANDUNG-KIDUL
BDG-BANDUNG-KULON,KECAMATAN,Bandung Kulon,BDG
BDG-BANDUNG-KULON-CARINGIN,KELURAHAN,Caringin,BDG-BANDUNG-KULON
BDG-BANDUNG-KULON-CIBUNTU,KELURAHAN,Cibuntu,BDG-BANDUNG-KULON
BDG-BANDUNG-KULON-CIGONDEWAH-KALER,KELURAHAN,Cigondewah Kaler,BDG-BANDUNG-KULON
BDG-BANDUNG-KULON-CIGONDEWAH-KIDUL,KELURAHAN,Cigondewah Kidul,BDG-BANDUNG-KULON
BDG-BANDUNG-KULON-CIGONDEWAH-RAHAYU,KELURAHAN,Cigondewah Rahayu,BDG-BANDUNG-KULON
BDG-BANDUNG-KULON-CIJERAH,KELURAHAN,Cijerah,BDG-BANDUNG-KULON
BDG-BANDUNG-KULON-GEMPOLSARI,KELURAHAN,Gempolsari,BDG-BANDUNG-KULON
BDG-BANDUNG-KULON-WARUNGMUNCANG,KELURAHAN,Warungmuncang,BDG-BANDUNG-KULON
BDG-BANDUNG-WETAN,KECAMATAN,Bandung Wetan,BDG
BDG-BANDUNG-WETAN-CIHAPIT,KELURAHAN,Cihapit,BDG-BANDUNG-WETAN
BDG-BANDUNG-WETAN-CITARUM,KELURAHAN,Citarum,BDG-BANDUNG-WETAN
BDG-BANDUNG-WETAN-TAMANSARI,KELURAHAN,Tamansari,BDG-BANDUNG-WETAN
BDG-BATUNUNGGAL,KECAMATAN,Batununggal,BDG
BDG-BATUNUNGGAL-BINONG,KELURAHAN,Binong,BDG-BATUNUNGGAL
BDG-BATUNUNGGAL-CIBANGKONG,KELURAHAN,Cibangkong,BDG-BATUNUNGGAL
BDG-BATUNUNGGAL-GUMURUH,KELURAHAN,Gumuruh,BDG-BATUNUNGGAL
BDG-BATUNUNGGAL-KACAPIRING,KELURAHAN,Kacapiring,BDG-BATUNUNGGAL
BDG-BATUNUNGGAL-KEBONGEDANG,KELURAHAN,Kebongedang,BDG-BATUNUNGGAL
BDG-BATUNUNGGAL-KEBONWARU,KELURAHAN,Kebonwaru,BDG-BATUNUNGGAL
BDG-BATUNUNGGAL-MALEER,KELURAHAN,Maleer,BDG-BATUNUNGGAL
BDG-BATUNUNGGAL-SAMOJA,KELURAHAN,Samoja,BDG-BATUNUNGGAL
BDG-BOJONGLOA-KALER,KECAMATAN,Bojongloa Kaler,BDG
BDG-BOJONGLOA-KALER-BABAKAN-ASIH,KELURAHAN,Babakan Asih,BDG-BOJONGLOA-KALER
BDG-BOJONGLOA-KALER-BABAKAN-TAROGONG,KELURAHAN,Babakan Tarogong,BDG-BOJONGLOA-KALER
BDG-BOJONGLOA-KALER-JAMIKA,KELURAHAN,Jamika,BDG-BOJONGLOA-KALER
BDG-BOJONGLOA-KALER-KOPO,KELURAHAN,Kopo,BDG-BOJONGLOA-KALER
BDG-BOJONGLOA-KALER-SUKA-ASIH,KELURAHAN,Suka Asih,BDG-BOJONGLOA-KALER
BDG-BOJONGLOA-KIDUL,KECAMATAN,Bojongloa Kidul,BDG
BDG-BOJONGLOA-KIDUL-CIBADUYUT,KELURAHAN,Cibaduyut,BDG-BOJONGLOA-KIDUL
BDG-BOJONGLOA-KIDUL-CIBADUYUT-KIDUL,KELURAHAN,Cibaduyut Kidul,BDG-BOJONGLOA-KIDUL
BDG-BOJONGLOA-KIDUL-CIBADUYUT-WETAN,KELURAHAN,Cibaduyut Wetan,BDG-BOJONGLOA-KIDUL
BDG-BOJONGLOA-KIDUL-KEBON-LEGA,KELURAHAN,Kebon Lega,BDG-BOJONGLOA-KIDUL
