kecamatan,kelurahan,classification,reason
ANDIR,Bakti Jaya,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Andir
ANDIR,Cipendawa,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Andir
ANDIR,Harapan Baru,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Andir
ANDIR,Mekar Jaya,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Andir
ANDIR,Suka Maju,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Andir
ANTAPANI,Bakti Jaya,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Antapani
ANTAPANI,Cipendawa,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Antapani
ANTAPANI,Harapan Baru,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Antapani
ANTAPANI,Mekar Jaya,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Antapani
ANTAPANI,Suka Maju,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Antapani
Batununggal,Batununggal,UNRESOLVED,Kelurahan Batununggal berada di Kecamatan Bandung Kidul
BUAHBATU,Bakti Jaya,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Buahbatu
BUAHBATU,Cipendawa,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Buahbatu
BUAHBATU,Harapan Baru,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Buahbatu
BUAHBATU,Mekar Jaya,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Buahbatu
BUAHBATU,Suka Maju,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Buahbatu
Cicendo,Cicendo,UNRESOLVED,Tidak ada kelurahan bernama Cicendo di Kecamatan Cicendo
COBLONG,Bakti Jaya,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Coblong
COBLONG,Cipendawa,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Coblong
Coblong,Coblong,UNRESOLVED,Tidak ada kelurahan bernama Coblong di Kecamatan Coblong
COBLONG,Harapan Baru,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Coblong
COBLONG,Mekar Jaya,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Coblong
COBLONG,Suka Maju,UNRESOLVED,Kelurahan tidak termasuk wilayah administratif Kecamatan Coblong
